"Интересует маршрут с винный туризм и музыка, но без спешки.",винный туризм;музыка
Планирую отпуск с уклоном в архитектура и обязательно с спорт.,архитектура;спорт
"Посоветуйте место, где есть искусство, а вечером — .",искусство
"Ищу необычный маршрут: хочется и еда, и немного фотография.",еда;фотография
Что порекомендуете для любителя культура и ?,культура
Где можно насладиться культура и заодно заняться музей?,культура;музей
"Маршрут, включающий животные, искусство,  — реально?",животные;искусство
"Маршрут, включающий искусство, религия,  — реально?",искусство;религия
"Хочу поездку, чтобы отдохнуть и посмотреть на искусство, может быть, ещё шопинг.",искусство;шопинг
"Хочу в путешествии увидеть музей, попробовать музыка, а может и .",музей;музыка
"Просто хочу поездку с животные, а остальное — как получится.",животные;история;религия
Где можно насладиться культура и заодно заняться музыка?,культура;музыка
Где в Европе можно насладиться архитектура и посетить ?,архитектура
"Подскажите город с парк, , и чтобы вкусно поесть.",парк
"Ищу необычный маршрут: хочется и архитектура, и немного ночная жизнь.",архитектура;ночная жизнь
Что порекомендуете для любителя винный туризм и пляж?,винный туризм;пляж;релакс
"Меня интересуют религия,  и что-то связанное с .",религия
Где можно насладиться дегустации и заодно заняться культура?,дегустации;культура
Где можно насладиться архитектура и заодно заняться дегустации?,архитектура;дегустации;шопинг
"Маршрут, включающий музыка, шопинг,  — реально?",музыка;шопинг
"Маршрут, включающий животные, ,  — реально?",животные
"Ищу необычный маршрут: хочется и животные, и немного спорт.",животные;спорт
"Хочу поездку, чтобы отдохнуть и посмотреть на дегустации, может быть, ещё релакс.",дегустации;релакс;шопинг
"Ищу необычный маршрут: хочется и дегустации, и немного музыка.",дегустации;музыка;религия
"Тур по Европе, главное — музей, но и спорт не помешает.",музей;спорт;шопинг
"Тур по Европе, главное — винный туризм, но и шопинг не помешает.",винный туризм;шопинг
Ищу место для фото с винный туризм и прогулками в пляж.,винный туризм;пляж;релакс
"Интересует маршрут с дегустации и музыка, но без спешки.",дегустации;музыка
"Маршрут, включающий животные, парк, природа — реально?",животные;парк;природа
"Посоветуйте место, где есть активность, а вечером — искусство.",активность;искусство
"Подскажите город с архитектура, еда, и чтобы вкусно поесть.",архитектура;еда;музыка
"Интересует маршрут с шопинг и , но без спешки.",шопинг
"Планирую тур с походы, вкусной  и атмосферой .",походы
"Меня интересуют винный туризм, парк и что-то связанное с .",винный туризм;парк
"Хочу поездку, чтобы отдохнуть и посмотреть на спорт, может быть, ещё фотография.",спорт;фотография
"Куда поехать летом, чтобы были активность, природа и даже немного фотография?",активность;природа;фотография
Где в Европе можно насладиться религия и посетить спорт?,религия;спорт;шопинг
"Хочу поездку, чтобы отдохнуть и посмотреть на дегустации, может быть, ещё искусство.",дегустации;искусство
"Интересует маршрут с животные и , но без спешки.",животные
"Интересует маршрут с животные и история, но без спешки.",животные;история;музей
Планирую отпуск с уклоном в религия и обязательно с спорт.,религия;спорт
"Ищу необычный маршрут: хочется и релакс, и немного религия.",релакс;религия
Ищу место для фото с музей и прогулками в пляж.,музей;пляж
Ищу место для фото с активность и прогулками в природа.,активность;природа;спорт
"Маршрут, включающий активность, фотография,  — реально?",активность;фотография
"Хочу поездку, чтобы отдохнуть и посмотреть на парк, может быть, ещё религия.",парк;религия;фотография
"Хочу отдых, где можно совместить шопинг,  и хорошее настроение.",шопинг
Что порекомендуете для любителя еда и искусство?,еда;искусство
"Интересует маршрут с архитектура и история, но без спешки.",архитектура;история
"Хочу поездку, чтобы отдохнуть и посмотреть на животные, может быть, ещё парк.",животные;парк
Где в Европе можно насладиться архитектура и посетить музей?,архитектура;музей;релакс
"Посоветуйте место, где есть дегустации, а вечером — музей.",дегустации;музей;музыка
Что порекомендуете для любителя музей и спорт?,музей;спорт;шопинг
"Интересует маршрут с природа и фотография, но без спешки.",природа;фотография
"Хочу отдых, где можно совместить музыка, походы и хорошее настроение.",музыка;походы
"Куда поехать летом, чтобы были история, пляж и даже немного ?",история;пляж
"Хочу поездку, чтобы отдохнуть и посмотреть на искусство, может быть, ещё фотография.",искусство;фотография
"Просто хочу поездку с активность, а остальное — как получится.",активность;культура
"Тур по Европе, главное — винный туризм, но и дегустации не помешает.",винный туризм;дегустации;фотография
"Интересуют походы, релакс, ну и конечно .",походы;релакс
"Хочу поездку, чтобы отдохнуть и посмотреть на релакс, может быть, ещё религия.",релакс;религия
"Планирую тур с музыка, вкусной ночная жизнь и атмосферой природа.",музыка;ночная жизнь;природа
"Маршрут, включающий животные, парк, пляж — реально?",животные;парк;пляж
Планирую отпуск с уклоном в культура и обязательно с фотография.,культура;фотография
"Меня интересуют искусство, музей и что-то связанное с .",искусство;музей
Ищу место для фото с ночная жизнь и прогулками в .,ночная жизнь
Ищу место для фото с музей и прогулками в фотография.,музей;фотография
"Интересует маршрут с история и музей, но без спешки.",история;музей;походы
"Интересуют музей, релакс, ну и конечно шопинг.",музей;релакс;шопинг
Где в Европе можно насладиться активность и посетить музей?,активность;музей
"Куда поехать летом, чтобы были винный туризм, еда и даже немного ?",винный туризм;еда
"Планирую тур с природа, вкусной  и атмосферой .",природа
"Посоветуйте место, где есть еда, а вечером — .",еда
"Ищу необычный маршрут: хочется и винный туризм, и немного .",винный туризм
Где можно насладиться еда и заодно заняться ?,еда
Что порекомендуете для любителя животные и ?,животные
"Хочу в путешествии увидеть еда, попробовать история, а может и музыка.",еда;история;музыка
Планирую отпуск с уклоном в искусство и обязательно с спорт.,искусство;спорт
"Мне нужно всё сразу: и активность, и религия, и .",активность;религия
"Хочу поездку, чтобы отдохнуть и посмотреть на походы, может быть, ещё фотография.",походы;фотография
"Хочу отдых, где можно совместить винный туризм, релакс и хорошее настроение.",винный туризм;релакс
"Мне нужно всё сразу: и архитектура, и винный туризм, и пляж.",архитектура;винный туризм;пляж
"Подскажите город с еда, искусство, и чтобы вкусно поесть.",еда;искусство;культура
"Ищу необычный маршрут: хочется и еда, и немного парк.",еда;парк
"Хочу отдых, где можно совместить музыка, парк и хорошее настроение.",музыка;парк;фотография
Ищу место для фото с музыка и прогулками в парк.,музыка;парк
Где в Европе можно насладиться история и посетить парк?,история;парк;природа
Что порекомендуете для любителя религия и ?,религия
Где можно насладиться винный туризм и заодно заняться культура?,винный туризм;культура
"Маршрут, включающий активность, дегустации, искусство — реально?",активность;дегустации;искусство
Где в Европе можно насладиться винный туризм и посетить животные?,винный туризм;животные;парк
"Мне нужно всё сразу: и культура, и пляж, и .",культура;пляж
"Просто хочу поездку с культура, а остальное — как получится.",культура;природа
Где в Европе можно насладиться парк и посетить релакс?,парк;релакс
"Тур по Европе, главное — винный туризм, но и ночная жизнь не помешает.",винный туризм;ночная жизнь;шопинг
Что порекомендуете для любителя история и природа?,история;природа;фотография
Где можно насладиться религия и заодно заняться ?,религия
Что порекомендуете для любителя походы и ?,походы
"Хочу в путешествии увидеть активность, попробовать архитектура, а может и .",активность;архитектура
"Интересует маршрут с активность и спорт, но без спешки.",активность;спорт
"Просто хочу поездку с походы, а остальное — как получится.",походы;природа
"Маршрут, включающий дегустации, животные,  — реально?",дегустации;животные
"Просто хочу поездку с дегустации, а остальное — как получится.",дегустации;искусство
Где в Европе можно насладиться животные и посетить история?,животные;история;культура
"Хочу в путешествии увидеть еда, попробовать ночная жизнь, а может и .",еда;ночная жизнь
"Маршрут, включающий спорт, ,  — реально?",спорт
Где можно насладиться релакс и заодно заняться религия?,релакс;религия
"Куда поехать летом, чтобы были искусство,  и даже немного ?",искусство
"Хочу поездку, чтобы отдохнуть и посмотреть на парк, может быть, ещё фотография.",парк;фотография
"Планирую тур с искусство, вкусной релакс и атмосферой .",искусство;релакс
Где в Европе можно насладиться архитектура и посетить религия?,архитектура;религия
Где можно насладиться природа и заодно заняться ?,природа
"Подскажите город с архитектура, спорт, и чтобы вкусно поесть.",архитектура;спорт
"Меня интересуют винный туризм,  и что-то связанное с .",винный туризм
"Тур по Европе, главное — история, но и религия не помешает.",история;религия
Планирую отпуск с уклоном в винный туризм и обязательно с животные.,винный туризм;животные;ночная жизнь
"Хочу поездку, чтобы отдохнуть и посмотреть на еда, может быть, ещё музыка.",еда;музыка;походы
